0,9550838827583461 0,0009293038381742735
0,9616477272727275 0,0012752999925827054
0,9659090909090908 0,0015305967194579476
0,9708371095928614 0,0010220727610648888
0,9750783629713844 0,0016732126047674719
0,9830896193530396 0,002233814521727293
0,9912579591931587 0,0020291252872727604
1 0,002782296867015851
1,0025822485169598 0,002596613942956556
1,0198471486335752 0,003014810761002824
1,0222976505856112 0,003501431053671393
1,0340909090909092 0,0038215742440757005
1,044352168153932 0,0048494082907432935
1,0760973070780309 0,005533458614420858
1,102272727272727 0,006093932762563212
1,1192809778411772 0,0067713190588789334
1,1363636363636362 0,007344146996249708
1,143138028095371 0,008092950294716265
1,1493736803840333 0,009171331437121778
1,1832139454359547 0,010384250318025253
1,2143557410764085 0,012009855036322993
1,2281398145566094 0,013865094678764133
1,2557079615170106 0,015841831353815526
1,297979120189627 0,018405107944763806
1,3445386572783047 0,0216674031126104
1,3751699316787507 0,025299273519879206
1,4119274609592862 0,029675698216538038
1,4770885355929626 0,035389240930257554
1,5130106664807585 0,04124582838227457
1,5484554268584176 0,047039227497717356
1,602607144102064 0,05384697083436559
1,6508514012827664 0,062279655611928865
1,7225285833798107 0,07314947094154861
1,7611239891243726 0,08304916944703819
1,816260283045176 0,09276959357799924
1,8750723298940324 0,10595727923692555
1,914280361126604 0,11956033253613227
1,9724797824874516 0,13430637125144293
2,018426694088121 0,1507560477955199
2,0919417526491912 0,16919141120422734
2,1378886642498607 0,18959523614036725
2,2272762922729816 0,2161626305839876
2,3206552681725237 0,2462086343371095
2,4060515483192217 0,2796613806576981
2,5003587446551405 0,3093499319800044
2,60807872629671 0,34754244418582153
2,725173734345688 0,3938082726665158
2,856192048940324 0,4467395058811969
3,0035284788064702 0,506849664076856
3,1313629973043318 0,5638852346981448
3,281047824874512 0,6298914859753472
3,4335915713887344 0,7175270152253922
3,5898110708310096 0,7970689801575915
3,7460305702732857 0,8907706129041703
3,9114394520356948 0,9935525752438698
4,086037716118238 1,1178457443762746
4,2698253625209155 1,2411180463086338
4,462802391243726 1,3903251997081854
4,664968802286671 1,533608014818518
4,8671352133296155 1,7087812335307266
5,06930162437256 1,897002802694337
5,271468035415505 2,089630394260981
5,47363444645845 2,281882777613922
5,675800857501395 2,503256896989773
5,87796726854434 2,7235709036065505
6,080133679587285 2,953793867820923
6,282300090630229 3,1976165898175144
6,484466501673174 3,4410254478486575
6,686632912716118 3,718251772016938
6,888799323759064 3,9903165315204467
7,090965734802009 4,24714486873939
7,293132145844953 4,530862897772829
7,4952985568878985 4,8534904551447005
7,697464967930842 5,2110058103131855
7,899631378973788 5,548941018205994
8,101797790016732 5,879110177206359
8,303964201059678 6,291978223413219
8,506130612102623 6,6938829602604395
8,708297023145565 7,066250280575336
8,910463434188511 7,503858305842813
9,112629845231456 7,957630375293581
9,314796256274402 8,431119662713662
9,516962667317348 8,990219088995536
9,71912907836029 9,49467274180424
9,921295489403235 10,013669511657
10,12346190044618 10,503175527705299
10,325628311489126 11,112854877369637
10,527794722532072 11,704218628529182
10,693203604294478 12,172033905486556
